id	nm	lat	lon	countryCode
2739868	Espinho	41.007629	-8.641250	PT
2739915	Esmoriz	40.957729	-8.627530	PT
2740031	Eixo	40.627579	-8.569220	PT
2740761	Chaves	41.740189	-7.468790	PT
2740974	Castro_Daire	40.898399	-7.933800	PT
2741405	Carregal_do_Sal	40.433331	-8.000000	PT
2741547	Cantanhede	40.346710	-8.594200	PT
2741566	Canelas	41.083328	-8.600000	PT
2741583	Candoso	41.427681	-8.321660	PT
2741648	Campo	41.185162	-8.464930	PT
2741649	Campo	40.710861	-7.914450	PT
2741738	Caldas_de_Vizela	41.382118	-8.308900	PT
2741961	Buarcos	40.166039	-8.876800	PT
2742330	Barrosas	41.355339	-8.299430	PT
2742458	Baltar	41.185120	-8.373440	PT
2742557	Azenha	41.076511	-8.624680	PT
2742577	Aves	41.370338	-8.410100	PT
2742578	Aver-o-Mar	41.407780	-8.781180	PT
2742617	Avanca	40.807709	-8.572200	PT
2742661	Arvore	41.339218	-8.718060	PT
2742750	Argoncilhe	41.025410	-8.538850	PT
2742765	Areosa	41.717789	-8.857070	PT
2742797	Arcozelo	41.053280	-8.643260	PT
2742811	Arcos	40.447788	-8.441710	PT
2742833	Aradas	40.620838	-8.641950	PT
2742837	Apulia	41.485119	-8.764130	PT
2742856	Antas	41.736439	-8.308880	PT
2742965	Amarante	41.272709	-8.082460	PT
2743095	Alfena	41.236710	-8.524540	PT
2743233	Albergaria-a-Velha	40.693180	-8.479940	PT
2743292	Agueda	40.577202	-8.444420	PT
2743298	Agucadoura	41.431759	-8.780380	PT
2743325	Aguada de Cima	40.522911	-8.427000	PT
2743428	Abraveses	40.681370	-7.921020	PT
3372472	Vila_Franca_do_Campo	37.716671	-25.433331	PT
3372589	Sao_Roque_do_Pico	38.516670	-28.316669	PT
3372677	Rosto_de_Cao	37.750000	-25.650000	PT
3372707	Ribeira_Grande	38.516670	-28.700001	PT
3372745	Rabo_de_Peixe	37.799999	-25.583330	PT
